,X_value,Y_value,Sum_weight,Other_side
0,157715.969,379454.419,43,"(157697.714, 379481.622)"
1,85860.077,432976.598,33,"(85885.947, 432987.14)"
2,119810.34,493682.33999999904,32,"(119834.0, 493703.0)"
3,95910.015,462530.838000002,30,"(95915.967, 462499.839000001)"
4,108158.906,450448.65,30,"(108230.069, 450427.745)"
5,110323.567,390781.387,30,"(110314.843, 390878.98)"
6,103930.27735,420683.80258,27,"(103861.965, 420683.322)"
7,167615.222,464463.946,27,"(167296.746, 464400.065)"
8,164644.374,379547.244,27,"(164644.589, 379536.159)"
9,119710.012,410907.622,26,"(119809.504, 410970.897)"
10,172832.526,514220.412,26,"(172840.182, 514211.601)"
11,205994.56465,437107.72354,25,"(205984.89615, 437098.64813)"
12,116829.934,453438.619,25,"(116794.045, 453351.906)"
13,85065.15000000001,453359.973,25,"(85115.535, 453348.669)"
14,96819.984,440784.073,24,"(96740.035, 440746.09)"
15,180357.102,436139.571,23,"(180135.616, 436295.518)"
16,131069.73308,453758.48038,23,
17,127647.184,483585.668,23,"(127656.807, 483600.042)"
18,144171.919,392480.196,23,"(144173.796, 392492.98)"
19,164038.961,500236.805,23,"(164065.015, 500218.897)"
20,183478.463,448336.286,22,"(183473.483, 448364.326)"
21,147480.252,373790.798,22,"(147474.207, 373815.167)"
22,157111.494,390408.062,21,"(157125.843, 390416.188)"
23,92349.18823,459425.45727,21,"(92340.85081, 459451.06421)"
24,82246.03,449583.03,21,"(82229.167, 449599.76)"
25,67958.91049,381899.38338,21,"(67968.38716, 381919.44973)"
26,141227.078,452711.81,20,"(141084.027, 452680.676)"
27,127216.797,471466.784,20,"(127148.585, 471475.165)"
28,96477.0,436643.0,20,"(96496.0, 436544.0)"
29,232977.826,554720.05,19,"(232992.48, 554687.496)"
30,108001.427,475826.952,19,"(108030.499, 475898.773)"
31,115280.222,481853.553,19,"(115281.856, 481817.681000001)"
32,145229.509,472185.48,19,"(145234.745, 472135.602)"
33,160851.62354,497497.50978,18,
34,128761.05,461651.434,18,"(128722.138, 461624.623)"
35,138067.172,439708.619000002,18,"(138384.283, 439369.452999999)"
36,101502.0,430068.0,18,"(101200.191, 430049.0)"
37,95444.748,450698.609,18,"(95429.89, 450685.936)"
38,155603.033,388341.602,18,"(155606.676, 388362.604)"
39,153326.086,412674.54,18,"(153380.356, 412682.757000001)"
40,189337.818,347949.955,18,"(189717.914, 348237.178)"
41,85475.15448,412948.82561,18,
42,208384.674,507702.969,18,
43,142947.948,456848.339,18,"(142959.96052, 456838.45675)"
44,167371.767,372259.906,18,"(167731.16425, 371939.2319)"
45,134344.083,444207.574999999,18,"(134327.004, 444263.095)"
46,137283.0,479994.511,17,
47,133076.041,453379.021,17,"(132926.021, 453221.846)"
48,190513.651,447941.94,17,"(190774.58577, 447896.31843)"
49,105999.913,473633.9620000021,17,"(106159.309, 473772.465)"
50,76167.475,440009.062,17,"(76192.253, 440016.196)"
51,123131.549,427928.441,17,"(123129.337, 427942.364)"
52,220918.83061,473525.74053,17,
53,127380.0,436264.0,16,
54,94940.57102,431525.18337,16,"(94954.94295, 431525.18676)"
55,138955.385,455782.222,16,"(139273.268, 455952.29)"
56,128985.60628,514270.24044,16,"(128960.12429, 514265.78199)"
57,79148.836,378078.66,16,
58,131227.2285,518024.0305,16,"(131321.651, 517941.742)"
59,93774.622,469085.067,16,"(93815.846, 469122.231)"
60,183065.451,329952.831,16,"(183033.115, 329860.008)"
61,112012.758,453333.041,16,"(111822.742, 453403.199)"
62,125353.797,430206.949,15,"(125366.072, 430202.489)"
63,94983.391,429357.554,15,"(94961.61, 429331.26)"
64,80285.90000000001,391324.96283,15,"(80297.483, 391331.749)"
65,236701.299,573277.234,15,"(236700.25558, 573157.38103)"
66,117412.634,396363.996,15,"(117369.78, 396328.341)"
67,152538.089,453013.08,15,"(152632.943, 453047.769)"
68,179657.71746,467611.90577,15,"(179710.63597, 467539.02517)"
