,X_value,Y_value,Sum_weight,Other_side
0,157715.969,379454.419,0.082283596,"(157697.714, 379481.622)"
1,119810.34,493682.33999999904,0.066860726,"(119834.0, 493703.0)"
2,85860.077,432976.598,0.06585992600000001,"(85885.947, 432987.14)"
3,108158.906,450448.65,0.06259991300000001,"(108230.069, 450427.745)"
4,95910.015,462530.838000002,0.05939883099999999,"(95915.967, 462499.839000001)"
5,110323.567,390781.387,0.05853594599999999,"(110314.843, 390878.98)"
6,167615.222,464463.946,0.05762581199999999,"(167296.746, 464400.065)"
7,119710.012,410907.622,0.057017531999999996,"(119809.504, 410970.897)"
8,103930.27735,420683.80258,0.05374437,"(103861.965, 420683.322)"
9,205994.56465,437107.72354,0.05351963,"(205984.89615, 437098.64813)"
10,172832.526,514220.412,0.051246456,"(172840.182, 514211.601)"
11,85065.15000000001,453359.973,0.051196513,"(85115.535, 453348.669)"
12,127647.184,483585.668,0.04793325699999999,"(127656.807, 483600.042)"
13,144171.919,392480.196,0.047616078,"(144173.796, 392492.98)"
14,131069.73308,453758.48038,0.047303994999999995,
15,164038.961,500236.805,0.04594741199999999,"(164065.015, 500218.897)"
16,183478.463,448336.286,0.04534389899999999,"(183473.483, 448364.326)"
17,157111.494,390408.062,0.044827304,"(157125.843, 390416.188)"
18,180357.102,436139.571,0.044460269999999996,"(180135.616, 436295.518)"
19,96477.0,436643.0,0.040953716999999994,"(96496.0, 436544.0)"
20,145229.509,472185.48,0.040821487000000004,"(145234.745, 472135.602)"
21,141227.078,452711.81,0.040513476,"(141084.027, 452680.676)"
22,67958.91049,381899.38338,0.039617848,"(67968.38716, 381919.44973)"
23,108001.427,475826.952,0.039294917000000006,"(108030.499, 475898.773)"
24,127216.797,471466.784,0.038857182,"(127148.585, 471475.165)"
25,114931.902,482755.018000001,0.038604611,"(115217.002, 482949.483)"
26,232977.826,554720.05,0.038580073,"(232992.48, 554687.496)"
27,138067.172,439708.619000002,0.037520429999999994,"(138384.283, 439369.452999999)"
28,128795.366,461452.423,0.036803133,"(128761.05, 461651.434)"
29,189337.818,347949.955,0.036580179,"(189717.914, 348237.178)"
30,153326.086,412674.54,0.036150913,"(153380.356, 412682.757000001)"
31,220918.83061,473525.74053,0.035411977,
32,167371.767,372259.906,0.035142730999999996,"(167731.16425, 371939.2319)"
33,128985.60628,514270.24044,0.035140137,"(128960.12429, 514265.78199)"
34,123131.549,427928.441,0.034685666999999996,"(123129.337, 427942.364)"
35,208384.674,507702.969,0.034681902,
36,80285.90000000001,391324.96283,0.033286969000000007,"(80297.483, 391331.749)"
37,117412.634,396363.996,0.032101521,"(117369.78, 396328.341)"
38,85475.15448,412948.82561,0.032064347,
39,236701.299,573277.234,0.031739962,"(236700.25558, 573157.38103)"
40,152538.089,453013.08,0.030207929999999997,"(152632.943, 453047.769)"
41,183065.451,329952.831,0.029987694999999998,"(183033.115, 329860.008)"
42,210536.62033,515253.69505,0.029024732999999997,"(210551.647, 515246.815)"
43,103380.091,411755.819,0.028891718,"(103373.656, 411771.844)"
44,213420.768,574183.339,0.02840874,"(213450.304, 574169.985)"
45,109739.112,506460.914,0.02836973,"(109757.194, 506471.928)"
46,192276.083,450054.322,0.028065441,"(192321.261, 450099.837)"
47,79148.836,378078.66,0.02794174,
48,166088.153,478123.758,0.027932026999999998,"(166103.832, 478110.812)"
49,176751.321,381498.283,0.027435809999999998,"(176753.609, 381489.849)"
50,201821.758,567217.879,0.026635321999999996,"(201782.507, 567327.828)"
51,247847.108,478269.775,0.026558968000000002,"(247823.049, 478258.179)"
52,168732.05000000002,406133.239,0.026254351,"(168743.228, 406125.821)"
53,204811.179,366992.554,0.025562601,"(204798.032, 367007.284)"
54,239538.967,478753.033,0.025460374,"(239536.97244, 478775.21991)"
55,74185.714,435604.229,0.025398269,"(74171.557, 435610.486)"
