,X_value,Y_value,Sum_weight,Other_side
0,157715.969,379454.419,43,"(157697.714, 379481.622)"
1,85860.077,432976.598,33,"(85885.947, 432987.14)"
2,119810.34,493682.33999999904,32,"(119834.0, 493703.0)"
3,95910.015,462530.838000002,30,"(95915.967, 462499.839000001)"
4,108158.906,450448.65,30,"(108230.069, 450427.745)"
5,110323.567,390781.387,30,"(110314.843, 390878.98)"
6,103930.27735,420683.80258,27,"(103861.965, 420683.322)"
7,167615.222,464463.946,27,"(167296.746, 464400.065)"
8,164644.374,379547.244,27,"(164644.589, 379536.159)"
9,119710.012,410907.622,26,"(119809.504, 410970.897)"
10,172832.526,514220.412,26,"(172840.182, 514211.601)"
11,205994.56465,437107.72354,25,"(205984.89615, 437098.64813)"
12,85065.15000000001,453359.973,25,"(85115.535, 453348.669)"
13,96819.984,440784.073,24,"(96740.035, 440746.09)"
14,180357.102,436139.571,23,"(180135.616, 436295.518)"
15,131069.73308,453758.48038,23,
16,127647.184,483585.668,23,"(127656.807, 483600.042)"
17,144171.919,392480.196,23,"(144173.796, 392492.98)"
18,164038.961,500236.805,23,"(164065.015, 500218.897)"
19,183478.463,448336.286,22,"(183473.483, 448364.326)"
20,157111.494,390408.062,21,"(157125.843, 390416.188)"
21,67958.91049,381899.38338,21,"(67968.38716, 381919.44973)"
22,141227.078,452711.81,20,"(141084.027, 452680.676)"
23,127216.797,471466.784,20,"(127148.585, 471475.165)"
24,232977.826,554720.05,19,"(232992.48, 554687.496)"
25,108001.427,475826.952,19,"(108030.499, 475898.773)"
26,115280.222,481853.553,19,"(115281.856, 481817.681000001)"
27,145229.509,472185.48,19,"(145234.745, 472135.602)"
28,138067.172,439708.619000002,18,"(138384.283, 439369.452999999)"
29,101502.0,430068.0,18,"(101200.191, 430049.0)"
30,153326.086,412674.54,18,"(153380.356, 412682.757000001)"
31,189337.818,347949.955,18,"(189717.914, 348237.178)"
32,85475.15448,412948.82561,18,
33,208384.674,507702.969,18,
34,128795.366,461452.423,18,"(128761.05, 461651.434)"
35,167371.767,372259.906,18,"(167731.16425, 371939.2319)"
36,123131.549,427928.441,17,"(123129.337, 427942.364)"
37,220918.83061,473525.74053,17,
38,128985.60628,514270.24044,16,"(128960.12429, 514265.78199)"
39,79148.836,378078.66,16,
40,93774.622,469085.067,16,"(93815.846, 469122.231)"
41,183065.451,329952.831,16,"(183033.115, 329860.008)"
42,80285.90000000001,391324.96283,15,"(80297.483, 391331.749)"
43,236701.299,573277.234,15,"(236700.25558, 573157.38103)"
44,117412.634,396363.996,15,"(117369.78, 396328.341)"
45,152538.089,453013.08,15,"(152632.943, 453047.769)"
46,104195.92227,412075.41883,15,"(103820.15354, 412337.24023)"
47,107958.012,500356.083,14,"(107955.675, 500307.385)"
48,166088.153,478123.758,14,"(166103.832, 478110.812)"
49,192276.083,450054.322,14,"(192321.261, 450099.837)"
50,210536.62033,515253.69505,14,"(210551.647, 515246.815)"
51,149233.017,407231.32,14,"(149220.632, 407221.36)"
52,239538.967,478753.033,14,"(239536.97244, 478775.21991)"
53,74185.714,435604.229,14,"(74171.557, 435610.486)"
54,201821.758,567217.879,13,"(201782.507, 567327.828)"
55,167557.75400000002,414100.389,13,"(167536.301, 414065.968)"
56,176839.503,430263.484,13,"(176807.704, 430297.786)"
57,213420.768,574183.339,13,"(213450.304, 574169.985)"
58,247847.108,478269.775,13,"(247823.049, 478258.179)"
59,236992.002,582405.399,12,"(237018.177, 582390.595)"
60,204811.179,366992.554,12,"(204798.032, 367007.284)"
61,184207.428,422536.741,12,"(184227.386, 422558.381)"
62,131253.79,549184.172,12,"(131220.494, 549189.154)"
63,197706.97278,466450.52964,12,"(197573.35371, 466440.30398)"
64,110681.0,517975.0,12,"(110668.0, 517982.0)"
65,52608.052,388839.1,12,"(52625.317, 388857.615)"
66,168732.05000000002,406133.239,12,"(168743.228, 406125.821)"
67,186972.077,354877.567,11,"(186927.181, 354958.593)"
